company_id,net_profit
RELIANCE,45938.307692307695
TCS,30959.30769230769
ONGC,29611.384615384617
HDFCBANK,28968.153846153848
SBIN,26744.846153846152
ICICIBANK,20299.23076923077
COALINDIA,18805.076923076922
LICI,18688.14285714286
INFY,17537.615384615383
IOC,15350.076923076924
NTPC,14218.615384615385
ITC,13563.615384615385
PFC,12739.23076923077
HCLTECH,10334.538461538461
POWERGRID,10167.615384615385
WIPRO,9633.23076923077
LT,9454.076923076924
BPCL,9413.76923076923
AXISBANK,9052.153846153846
KOTAKBANK,8939.615384615385
